ano,internacoes,codigo_municipio,municipio,obitos,taxa_mortalidade,populacao,fonte_populacao,internacoes_por_100k,obitos_por_100k
2021,346,130360,Santa Isabel Do Rio Negro,7,2.023121387283237,26566,IBGE - Estimativas de populacao,1302.4166227508845,26.349469246405178
2021,1398,130370,Santo Antonio Do Ica,33,2.3605150214592276,20889,IBGE - Estimativas de populacao,6692.517592991528,157.9778830963665
2021,1941,130380,Sao Gabriel Da Cachoeira,100,5.151983513652756,47031,IBGE - Estimativas de populacao,4127.065127256491,212.62571495396654
2021,1783,130390,Sao Paulo De Olivenca,55,3.084688726864835,40837,IBGE - Estimativas de populacao,4366.138550824008,134.68178367656782
2021,762,130395,Sao Sebastiao Do Uatuma,23,3.0183727034120733,14678,IBGE - Estimativas de populacao,5191.442975882273,156.69709769723397
2021,801,130400,Silves,25,3.1210986267166043,9289,IBGE - Estimativas de populacao,8623.102594466574,269.1355366562601
2021,2866,130406,Tabatinga,121,4.221912072575018,68502,IBGE - Estimativas de populacao,4183.819450526992,176.63717847654084
2021,1148,130410,Tapaua,30,2.6132404181184667,16876,IBGE - Estimativas de populacao,6802.559848305285,177.767243422612
2021,5265,130420,Tefe,198,3.7606837606837606,59250,IBGE - Estimativas de populacao,8886.075949367088,334.17721518987344
2021,932,130423,Tonantins,14,1.502145922746781,19038,IBGE - Estimativas de populacao,4895.472213467801,73.53713625380817
2021,1116,130426,Uarini,24,2.1505376344086025,13839,IBGE - Estimativas de populacao,8064.166486017776,173.42293518317797
2021,924,130430,Urucara,41,4.437229437229438,16007,IBGE - Estimativas de populacao,5772.474542387706,256.1379396514025
2021,468,130440,Urucurituba,23,4.914529914529915,24098,IBGE - Estimativas de populacao,1942.0698813179517,95.44360527844634
2022,334,130002,Alvaraes,4,1.1976047904191618,15866,IBGE - Censo Demografico 2022,2105.1304676667087,25.211143325349802
2022,542,130006,Amatura,5,0.9225092250922509,10819,IBGE - Censo Demografico 2022,5009.705148350125,46.21499214345133
2022,781,130008,Anama,6,0.7682458386683738,9962,IBGE - Censo Demografico 2022,7839.791206585023,60.22886970487854
2022,731,130010,Anori,5,0.6839945280437756,17194,IBGE - Censo Demografico 2022,4251.48307549145,29.079911597068744
2022,1116,130014,Apui,18,1.6129032258064515,20647,IBGE - Censo Demografico 2022,5405.143604397733,87.17973555480215
2022,603,130020,Atalaia Do Norte,12,1.9900497512437811,15314,IBGE - Censo Demografico 2022,3937.5734621914585,78.35967088938227
2022,1536,130030,Autazes,19,1.2369791666666665,41564,IBGE - Censo Demografico 2022,3695.505726109133,45.7126359349437
2022,1111,130040,Barcelos,29,2.6102610261026102,18834,IBGE - Censo Demografico 2022,5898.906233407667,153.9768503769778
2022,1702,130050,Barreirinha,33,1.9388954171562869,31051,IBGE - Censo Demografico 2022,5481.304949921097,106.27677047438085
2022,982,130060,Benjamin Constant,26,2.6476578411405294,37648,IBGE - Censo Demografico 2022,2608.372290692733,69.06077348066297
2022,948,130063,Beruri,23,2.4261603375527425,20718,IBGE - Censo Demografico 2022,4575.73124818998,111.01457669659234
2022,859,130068,Boa Vista Do Ramos,15,1.7462165308498252,23785,IBGE - Censo Demografico 2022,3611.519865461425,63.06495690561278
2022,2401,130070,Boca Do Acre,46,1.9158683881715952,35447,IBGE - Censo Demografico 2022,6773.492820266877,129.77120771856576
2022,2456,130080,Borba,22,0.8957654723127036,33080,IBGE - Censo Demografico 2022,7424.425634824667,66.50544135429263
2022,747,130083,Caapiranga,9,1.2048192771084338,13469,IBGE - Censo Demografico 2022,5546.068750464028,66.82010542727745
