municipio,internacoes,obitos,populacao_media,posicao,participacao_%,participacao_acumulada_%,taxa_mortalidade,internacoes_por_100k,obitos_por_100k,rank_volume,rank_taxa_100k,diferenca_rank
Presidente Figueiredo,7830,286,33378.8,25,0.6885350559313822,84.30025756311355,3.6526181353767564,23458.003283521277,856.831282131173,25,45,-20
Codajas,7735,179,25252.6,26,0.6801811823281279,84.98043874544167,2.314156431803491,30630.509333692375,708.8379018398106,26,23,3
Jutai,7697,46,24181.2,27,0.6768396328868261,85.6572783783285,0.5976354423801481,31830.512960481694,190.23042694324516,27,16,11
Fonte Boa,7676,148,25051.0,28,0.6749929871429489,86.33227136547144,1.9280875455966648,30641.491357630435,590.7947786515508,28,22,6
Novo Aripuana,7624,93,24995.0,29,0.6704203405390623,87.00269170601051,1.219832109129066,30502.100420084018,372.0744148829766,29,24,5
Nova Olinda Do Norte,7101,105,29956.2,30,0.6244300679653569,87.62712177397587,1.4786649767638362,23704.608728743966,350.5117471508402,30,44,-14
Anori,7046,54,18536.4,31,0.6195936148266307,88.2467153888025,0.7663922793074085,38011.695906432746,291.31870266071076,31,6,25
Tonantins,6560,70,19700.4,32,0.5768569561826139,88.82357234498511,1.0670731707317074,33298.816267689996,355.32273456376515,32,9,23
Anama,6082,22,10938.6,33,0.5348237816315027,89.35839612661661,0.36172311739559354,55601.26524418115,201.12262995264476,33,1,32
Novo Airao,5813,111,17059.8,34,0.5111691290075511,89.86956525562417,1.909513160158266,34074.25643911418,650.6524109309605,34,8,26
Rio Preto Da Eva,5790,220,27241.8,35,0.5091466122404473,90.37871186786461,3.7996545768566494,21254.102151840187,807.5824651821833,35,52,-17
Beruri,5547,98,21455.8,36,0.48777828291843894,90.86649015078305,1.7667207499549304,25853.149265000608,456.7529525815864,36,38,-2
Manaquiri,5533,85,20273.2,37,0.4865471857558541,91.3530373365389,1.536237122718236,27292.188702326224,419.2727344474479,37,31,6
Pauini,5516,120,19850.4,38,0.4850522820584296,91.83808961859734,2.1754894851341553,27787.85314149841,604.5218232378188,38,27,11
Barcelos,5357,128,20434.4,39,0.4710705357119303,92.30916015430927,2.3893970505880158,26215.59722820342,626.3947069647261,39,36,3
Apui,5327,99,21618.6,40,0.4684324703635342,92.7775926246728,1.8584569175896375,24640.81855439298,457.93899697482726,40,41,-1
Tapaua,5254,81,19550.8,41,0.46201317801577035,93.23960580268857,1.5416825275980206,26873.580620741865,414.30529696994495,41,34,7
Boa Vista Do Ramos,5175,101,24170.0,42,0.4550662725983273,93.6946720752869,1.9516908212560384,21410.83988415391,417.87339677285894,42,51,-9
Envira,5009,109,18278.4,43,0.4404689776705355,94.13514105295744,2.1760830505090833,27403.93032212885,596.3322829131653,43,30,13
Uarini,4890,65,14808.4,44,0.43000465178856434,94.565145704746,1.329243353783231,33021.79843872397,438.9400610464331,44,10,34
Guajara,4835,99,14751.6,45,0.4251681986498381,94.99031390339584,2.047569803516029,32776.10564277773,671.1136419100301,45,12,33
Urucara,4761,113,18565.6,46,0.41866097079046105,95.4089748741863,2.3734509556815797,25644.202180376615,608.6525617270652,46,39,7
Silves,4731,68,11570.6,47,0.416022905442065,95.82499777962836,1.4373282604100612,40888.11297599087,587.6964029523101,47,2,45
Nhamunda,4536,106,20964.8,48,0.39887548067749035,96.22387326030585,2.3368606701940036,21636.26650385408,505.6094024269251,48,48,0
Alvaraes,4347,51,16401.2,49,0.38225566898259494,96.60612892928845,1.173222912353347,26504.158232324466,310.9528571080165,49,35,14
Atalaia Do Norte,3992,67,16713.2,50,0.3510385623599077,96.95716749164835,1.6783567134268536,23885.312208314386,400.88074097120835,50,43,7
Sao Sebastiao Do Uatuma,3865,75,12578.2,51,0.3398707523850309,97.29703824403337,1.9404915912031047,30727.767089090645,596.269736528279,51,21,30
Caapiranga,3455,42,13991.4,52,0.30381719262361756,97.60085543665699,1.215629522431259,24693.740440556343,300.18439898794975,52,40,12
Canutama,3408,42,17244.2,53,0.299684223577797,97.90053966023478,1.232394366197183,19763.166745920367,243.56015355887777,53,56,-3
Santa Isabel Do Rio Negro,3369,66,16604.6,54,0.29625473862488205,98.19679439885967,1.9590382902938557,20289.55831516568,397.48021632559653,54,55,-1
Itamarati,3324,18,10746.8,55,0.2922976406022879,98.48909203946195,0.5415162454873645,30930.137343209142,167.49171846503148,55,20,35
Maraa,3307,38,16234.2,56,0.29080273690486347,98.77989477636682,1.1490777139401271,20370.57569821734,234.07374554951892,56,54,2
Itapiranga,3258,71,10343.6,57,0.2864938968358165,99.06638867320264,2.1792510742786986,31497.73773154414,686.4147878881628,57,17,40
Amatura,2952,28,11362.4,58,0.25958563028217624,99.32597430348481,0.9485094850948509,25980.42667042174,246.42681123706262,58,37,21
Urucurituba,2882,76,24873.6,59,0.25343014446925205,99.57940444795406,2.63705759888966,11586.58175736524,305.54483468416316,59,60,-1
